Name,AllianceName,CharacterId,Favorite,Level,Power,Stars,RedStar,GearLevel,Basic,Special,Ultimate,Passive,ISO Class,ISO Level,ISO Armor,ISO Damage,ISO Focus,ISO Health,ISO Resist
mgmf,SIGMA Infamously Strange,Kitty Pryde,false,90,175852,8,6,15,7,7,6,5,Skirmisher,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Korath the Pursuer,false,72,76535,8,7,12,6,6,6,4,Striker,3,3,3,3,3,3
mgmf,SIGMA Infamously Strange,Korg,false,75,120946,6,6,14,7,7,7,5,Striker,9,9,9,9,9,9
mgmf,SIGMA Infamously Strange,Kree Cyborg,false,65,57014,8,6,12,6,6,0,4,,0,0,0,0,0,0
mgmf,SIGMA Infamously Strange,Kree Noble,false,65,57524,8,7,12,6,6,0,4,,0,0,0,0,0,0
mgmf,SIGMA Infamously Strange,Kree Oracle,false,60,49803,8,6,11,6,6,0,4,,0,0,0,0,0,0
mgmf,SIGMA Infamously Strange,Kree Reaper,false,60,58171,8,8,11,6,6,0,4,,0,0,0,0,0,0
mgmf,SIGMA Infamously Strange,Kree Royal Guard,false,65,58973,8,6,12,6,6,0,4,,0,0,0,0,0,0
mgmf,SIGMA Infamously Strange,Lady Deathstrike,false,88,209446,8,7,16,7,7,7,5,Skirmisher,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Loki,false,80,160264,8,7,15,6,7,7,5,Skirmisher,9,9,9,9,9,9
mgmf,SIGMA Infamously Strange,Loki (Teen),false,80,150458,6,6,15,7,7,7,5,Striker,9,9,9,9,9,9
mgmf,SIGMA Infamously Strange,Longshot,false,80,158980,8,7,15,7,7,7,5,Raider,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Luke Cage,false,75,114351,8,7,14,6,6,6,5,Fortifier,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,M'Baku,false,90,205453,8,7,16,6,7,6,5,Striker,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Madelyne Pryor,false,80,120970,7,7,14,6,6,6,4,Striker,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Magik,false,85,186057,8,7,16,6,7,7,5,Striker,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Magneto,true,90,249587,8,7,17,7,7,6,5,Skirmisher,10,10,10,10,10,10
mgmf,SIGMA Infamously Strange,Mantis,false,65,54230,8,6,10,6,6,6,4,,0,0,0,0,0,0
mgmf,SIGMA Infamously Strange,Maria Hill,false,90,211302,8,7,16,6,7,7,5,Healer,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Mercenary Lieutenant,false,75,109339,8,6,14,7,7,0,5,Healer,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Mercenary Riot Guard,false,75,90488,8,7,14,6,6,0,5,Skirmisher,8,8,8,8,8,8
mgmf,SIGMA Infamously Strange,Mercenary Sniper,false,45,16968,8,8,6,5,4,0,3,,0,0,0,0,0,0
mgmf,SIGMA Infamously Strange,Mercenary Soldier,false,50,30838,8,6,9,5,5,0,3,Skirmisher,3,3,3,3,3,3
